"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Sympetrum_signiferum",37.5,0.924279517082741,0.570106641941026,63294226191,167.2031301,1547.7223512,2204.058838,656.3364868,3018,369,1691,1787,2219.613426,688.283179,1531.330247,-2.85466676
"Sympetrum_vicinum",33,0.884037113897129,-0.954053580947776,3.6e+12,90.7121006,2609.533974233,2613.428711,3.894736767,4130,-89,1529,13,3077.62037,1.01e-12,3077.62037,-97.57575635
"Tachopteryx_thoreyi",75.5,0.906996535041095,0.757809841731439,1.07e+12,135.2494922,798.938588131,808.1276245,9.189036369,1931,-78,332,18,1157.099537,6.722857143,1150.376679857,-40.30809521
"Tanypteryx_hageni",55.5,0.888743099957805,-0.21410508794613,2.77e+11,85.67240561,1494.4524846,1753.731812,259.2793274,4275,-41,1233,958,2811.358796,199.7179694,2611.6408266,-33.93434597
"Tauriphila_azteca",46,0.93232359127566,1.06525258836089,56993070253,229.1478088,1108.60369134,1135.60376,27.00006866,3054,-2,40,89,474.5208333,30.0634058,444.4574275,117.9510529
"Tholymis_citrina",50.5,0.924111568900375,0.893671830283926,88563058295,218.5530834,428.84034638,441.0006104,12.16026402,2448,0,222,30,321.6743827,12.20833333,309.46604937,76.67875385
"Tramea_abdominalis",47,0.958113775294097,1.93663104465534,89315445337,223.0068588,1248.822521413,1254.102905,5.280383587,2538,-6,873,16,1620.787037,4.123739688,1616.663297312,104.801482
"Tramea_calverti",47,0.961340280167063,2.04106026028532,4.86e+11,169.4501846,1979.372109233,1983.266846,3.894736767,3536,-68,1498,8,2354.290123,2.866666667,2351.423456333,7.037672607
"Tramea_carolina",50.5,0.967749870724759,2.32692384152769,1.76e+12,147.2583242,1046.969482,1049.469482,2.5,2201,-171,565,4,1267.573302,-0.06741573,1267.64071773,-21.58440334
"Tramea_insularis",45,0.945004257733786,1.46058053983256,1.32e+11,212.0469653,1449.670795777,1451.703369,2.032573223,3536,-3,816,7,1119.283179,2.026455026,1117.256723974,72.10990644
"Tramea_lacerata",53,0.964322392371322,2.27015937823118,4.17e+12,133.2883293,2708.566129551,2710.365723,1.799593449,4206,-121,1562,13,2733.010802,-56.17515432,2789.18595632,-40.15507782
"Tramea_onusta",45,0.972322075849655,2.34579064891469,2.91e+12,163.1407982,2364.082905777,2366.115479,2.032573223,4175,-171,1722,4,2473.057099,-56.17515432,2529.23225332,-5.315472061
"Triacanthagyna_septima",63,0.881134330013276,-0.340985280864338,56325138750,236.964978,474.800416987,484.3797913,9.579374313,2502,-2,9,29,474.5208333,6.927055703,467.593777597,114.2576965
"Triacanthagyna_trifida",68.5,0.892573771636544,0.152272050455461,1.85e+11,220.0102225,52.947426317,54.97999954,2.032573223,104,-15,17,7,47.18209877,1.421875,45.76022377,95.828561
"Williamsonia_fletcheri",32,0.891886323727459,-0.713508324039571,3.29e+11,48.28156734,483.57865903,529.8937988,46.31513977,1834,-2,318,294,576.9367284,10.31404321,566.62268519,-162.0574313
"Williamsonia_lintneri",33,0.87073240489333,-1.42509665601088,1.16e+11,72.80724607,257.9277802,330.645752,72.7179718,632,-6,218,241,310.8657407,24.3714653,286.4942754,-120.3755417
